"Memory_Bandwidth","Memory_Speed","L2_Cache","Memory_Bus","Shader","Dedicated","Manufacturer"
64,1000,0,256,"4","Yes","Nvidia"
106,828,0,512,"4","Yes","AMD"
51.2,800,0,256,"4","Yes","AMD"
36.8,1150,0,128,"4","Yes","AMD"
22.4,700,0,128,"4","Yes","AMD"
35.2,1100,0,128,"4","Yes","AMD"
134.4,1050,0,256,"4.1","Yes","AMD"
51.2,800,0,256,"4","Yes","AMD"
160,1250,0,256,"5","Yes","AMD"
2.9,366,0,64,"1","Yes","AMD"
5.2,325,0,128,"1.3","Yes","Nvidia"
177.6,925,768,384,"5","Yes","Nvidia"
168,1050,1536,320,"5","Yes","Nvidia"
288.4,1502,1536,384,"5","Yes","Nvidia"
57.6,900,4608,128,"5","Yes","AMD"
320,1250,0,512,"5","Yes","Nvidia"
249.6,1300,1536,384,"5","Yes","Nvidia"
34.1,1067,512,128,"5","No","Intel"
23.4,730,0,256,"2","Yes","AMD"
144,750,768,384,"5","Yes","Nvidia"
144,750,768,384,"5","Yes","Nvidia"
3.6,225,0,128,"1.3","Yes","Nvidia"
5.2,325,0,128,"1.3","Yes","Nvidia"
34.1,1067,512,128,"5","No","Intel"
4.4,275,0,128,"1.3","Yes","Nvidia"
144,750,768,384,"5","Yes","Nvidia"
34.1,1067,512,128,"5","No","Intel"
34.1,1067,512,128,"5","No","Intel"
25.6,800,512,128,"5","No","Intel"
3.2,200,0,128,"1.3","Yes","Nvidia"
29.9,933,1024,128,"5","No","Intel"
3.2,200,0,128,"1.3","Yes","Nvidia"
4.1,256,0,128,"1.3","Yes","Nvidia"
3.6,225,0,128,"1.3","Yes","Nvidia"
34.1,1067,512,128,"5","No","Intel"
34.1,1067,512,128,"5","No","Intel"
2.7,166,0,128,"1.3","Yes","Nvidia"
34.1,1067,512,128,"5","No","Intel"
34.1,1067,512,128,"5","No","Intel"
29.9,933,1024,128,"5","No","Intel"
25.6,800,1024,128,"5","No","Intel"
29.9,933,1024,128,"5","No","Intel"
29.9,933,1024,128,"5","No","Intel"
547.2,1425,0,96,"5","Yes","Nvidia"
288.4,1502,1536,384,"5","Yes","Nvidia"
672,1750,3072,384,"5","Yes","Nvidia"
672,1750,0,384,"5","Yes","Nvidia"
672,1750,3072,384,"5","Yes","Nvidia"
672,1750,0,384,"5","Yes","Nvidia"
336.6,1753,3072,384,"5","Yes","Nvidia"
673.2,1753,6144,384,"5","Yes","Nvidia"
317.2,1652,1536,384,"5","Yes","Nvidia"
673.2,1753,6144,384,"5","Yes","Nvidia"
336.6,1753,3072,384,"5","Yes","Nvidia"
336.6,1753,3072,384,"5","Yes","Nvidia"
288.4,1502,1536,384,"5","Yes","Nvidia"
576.8,1502,3072,384,"5","Yes","Nvidia"
384,500,3072,3072,"5","Yes","Nvidia"
288.4,1502,1536,384,"5","Yes","Nvidia"
512,500,3072,4096,"5","Yes","Nvidia"
288.4,1502,1536,384,"5","Yes","Nvidia"
288.4,1502,1536,384,"5","Yes","Nvidia"
288.4,1502,1536,384,"5","Yes","Nvidia"
336,1750,1536,384,"5","Yes","Nvidia"
28.8,900,0,128,"5","Yes","AMD"
288.4,1502,1536,384,"5","Yes","Nvidia"
288.4,1502,1536,384,"5","Yes","Nvidia"
28.8,900,0,128,"5","Yes","AMD"
28.8,900,0,128,"5","Yes","AMD"
28.8,900,0,128,"5","Yes","AMD"
8.8,550,0,128,"1.4","Yes","AMD"
44.8,700,0,256,"2","Yes","AMD"
4.8,300,0,128,"2","Yes","AMD"
3.2,200,0,128,"2","Yes","AMD"
4.8,300,0,128,"2","Yes","AMD"
4.3,270,0,128,"2","Yes","AMD"
4.3,270,0,128,"2","Yes","AMD"
6.4,400,0,128,"2","Yes","AMD"
3.2,200,0,128,"1.4","Yes","AMD"
3.2,200,0,128,"1.4","Yes","AMD"
4,250,0,128,"1.4","Yes","AMD"
72,1125,0,256,"4","Yes","AMD"
41.6,650,0,256,"3","Yes","AMD"
28.8,450,0,256,"3","Yes","AMD"
8,500,0,128,"1.4","Yes","AMD"
111.1,868,0,512,"4","Yes","AMD"
35.2,1100,0,128,"4","Yes","AMD"
41.6,650,0,256,"3","Yes","AMD"
51.2,800,0,256,"4","Yes","AMD"
11.2,350,0,256,"3","Yes","AMD"
16,500,0,128,"4","Yes","AMD"
6.4,400,0,64,"3","Yes","AMD"
6.4,400,0,64,"3","Yes","AMD"
16,500,0,128,"3","Yes","AMD"
320,1250,1024,512,"5","Yes","AMD"
176,1375,0,256,"5","Yes","AMD"
3.2,200,0,128,"2","Yes","AMD"
102.4,800,0,256,"5","Yes","AMD"
264,1375,0,384,"5","Yes","AMD"
115.2,900,0,256,"4.1","Yes","AMD"
153.6,1200,0,256,"5","Yes","AMD"
160,1250,0,256,"5","Yes","AMD"
28.8,900,512,128,"5","Yes","AMD"
108.8,850,0,256,"4.1","Yes","AMD"
128,1000,0,256,"5","Yes","AMD"
128,1000,0,256,"5","Yes","AMD"
3.2,200,0,128,"1.4","Yes","AMD"
64,1000,0,128,"5","Yes","AMD"
28.8,900,0,128,"4.1","Yes","AMD"
22.4,700,0,128,"4.1","Yes","AMD"
2.3,290,0,64,"1.4","Yes","AMD"
320,1250,1024,512,"5","Yes","AMD"
264,1375,768,384,"5","Yes","AMD"
147.2,1150,0,256,"5","Yes","AMD"
264,1375,768,384,"5","Yes","AMD"
153.6,1200,0,256,"5","Yes","AMD"
264,1375,0,384,"5","Yes","AMD"
240,1250,0,384,"5","Yes","AMD"
28.8,900,0,128,"5","Yes","AMD"
34.1,1067,0,128,"5","No","AMD"
153.6,1200,0,256,"5","Yes","AMD"
34.1,1067,0,128,"5","No","AMD"
34.1,1067,4096,128,"5","No","AMD"
34.1,1067,0,128,"5","No","AMD"
34.1,1067,0,128,"5","No","AMD"
240,1250,768,384,"5","Yes","AMD"
108.8,850,0,256,"4","Yes","AMD"
128,1000,0,256,"5","Yes","AMD"
51.2,800,0,256,"4","Yes","AMD"
34.1,1067,0,128,"5","No","AMD"
63.6,993,0,256,"4","Yes","AMD"
34.1,1067,0,128,"5","No","AMD"
34.1,1067,0,128,"5","No","AMD"
34.1,1067,4096,128,"5","No","AMD"
34.1,1067,4096,128,"5","No","AMD"
25.6,800,0,128,"5","Yes","AMD"
34.1,1067,0,128,"5","No","AMD"
29.9,933,0,128,"5","No","AMD"
25.6,800,0,128,"5","No","AMD"
34.1,1067,256,128,"5","No","AMD"
29.9,933,0,128,"5","No","AMD"
34.1,1067,256,128,"5","Yes","AMD"
29.9,933,0,128,"5","No","AMD"
29.9,933,0,128,"5","No","AMD"
29.9,933,0,128,"5","No","AMD"
29.9,933,0,128,"5","No","AMD"
34.1,1067,256,128,"5","No","AMD"
25.6,800,0,128,"5","No","AMD"
8,500,0,64,"4","Yes","AMD"
6.4,400,0,64,"4","Yes","AMD"
16,500,0,128,"4","Yes","AMD"
6.4,400,0,64,"4","Yes","AMD"
6.4,400,0,64,"4","Yes","AMD"
5.3,333,0,64,"4","No","AMD"
134.4,1050,0,256,"4.1","Yes","AMD"
29.9,933,0,128,"5","No","AMD"
134.4,1050,0,256,"4.1","Yes","AMD"
6.4,400,0,64,"4","Yes","AMD"
128,1000,0,256,"4.1","Yes","AMD"
230.4,900,0,512,"4.1","Yes","AMD"
134.4,1050,0,256,"4.1","Yes","AMD"
115.2,900,0,256,"4.1","Yes","AMD"
124.8,975,0,256,"4.1","Yes","AMD"
115.2,900,0,256,"4.1","Yes","AMD"
121.6,950,0,256,"4.1","Yes","AMD"
63.6,993,0,256,"4.1","Yes","AMD"
64,1000,0,256,"4.1","Yes","AMD"
96,750,0,256,"4.1","Yes","AMD"
70.4,1100,0,256,"4.1","Yes","AMD"
63.6,993,0,256,"4.1","Yes","AMD"
60.2,940,0,256,"4.1","Yes","AMD"
63.4,990,0,256,"4.1","Yes","AMD"
63.6,993,0,256,"4.1","Yes","AMD"
57.6,900,0,256,"4.1","Yes","AMD"
57.6,900,0,256,"4.1","Yes","AMD"
27.9,873,0,128,"4.1","Yes","AMD"
51.2,800,0,128,"4.1","Yes","AMD"
57.6,900,0,128,"4.1","Yes","AMD"
57.6,900,0,128,"4.1","Yes","AMD"
51.2,800,0,128,"4.1","Yes","AMD"
25.6,800,0,128,"4.1","Yes","AMD"
25.6,800,0,128,"4.1","Yes","AMD"
32.1,1004,0,128,"4.1","Yes","AMD"
24,750,0,128,"4.1","Yes","AMD"
22.4,700,0,128,"4.1","Yes","AMD"
25.6,800,0,128,"4.1","Yes","AMD"
6.4,400,0,64,"4.1","Yes","AMD"
12.8,400,0,128,"4.1","Yes","AMD"
12.8,400,0,128,"4.1","Yes","AMD"
12.8,800,0,64,"4.1","Yes","AMD"
8,500,0,64,"4.1","Yes","AMD"
12.8,800,0,64,"4.1","Yes","AMD"
25.6,800,0,128,"4.1","Yes","AMD"
6.4,400,0,64,"4.1","Yes","AMD"
57.6,900,0,256,"4","Yes","Nvidia"
24,500,0,192,"4","Yes","Nvidia"
16,500,0,128,"4","Yes","Nvidia"
57.6,900,0,256,"4.1","Yes","AMD"
72.1,1126,0,256,"4.1","Yes","AMD"
106,828,0,512,"4.1","Yes","AMD"
26.6,830,0,128,"4.1","Yes","AMD"
26.6,830,0,128,"4.1","Yes","AMD"
8,500,0,64,"4","Yes","Nvidia"
53.1,830,0,256,"4.1","Yes","AMD"
25.6,800,0,128,"4.1","Yes","AMD"
15.2,950,0,64,"4.1","Yes","AMD"
53.1,830,0,256,"4.1","Yes","AMD"
163.2,850,0,768,"4.1","Yes","AMD"
8,500,0,64,"4.1","Yes","AMD"
3.2,400,0,32,"4","No","AMD"
29.9,933,1024,128,"5","No","Intel"
29.9,933,512,128,"5","No","Intel"
12.8,800,1024,128,"5","No","Intel"
34.1,1067,512,128,"5","No","Intel"
17.1,533,0,128,"4","No","Intel"
34.1,1067,512,128,"5","No","Intel"
174.3,1362,0,256,"5","Yes","AMD"
160,1250,768,256,"5","Yes","AMD"
153.6,1200,512,256,"5","Yes","AMD"
8.5,533,0,64,"4","No","Intel"
160,1250,768,256,"5","Yes","AMD"
160,1250,512,256,"5","Yes","AMD"
307.2,1200,1024,256,"5","Yes","AMD"
8.5,533,0,64,"4","No","Intel"
8.5,533,1024,64,"5","No","AMD"
128,1000,512,128,"5","Yes","AMD"
25.6,800,0,128,"4.1","Yes","AMD"
64,1000,256,128,"5","Yes","AMD"
64,1000,256,128,"5","Yes","AMD"
25.6,800,256,128,"5","Yes","AMD"
153.6,1200,512,256,"5","Yes","AMD"
25.6,800,256,128,"5","Yes","AMD"
51.2,800,256,128,"5","Yes","AMD"
25.6,800,256,128,"5","Yes","AMD"
12.8,800,128,64,"5","Yes","AMD"
25.6,800,0,128,"4.1","Yes","AMD"
19.2,600,0,128,"4","Yes","AMD"
12.8,800,0,64,"4.1","Yes","AMD"
12.8,800,0,64,"5","Yes","AMD"
9.6,600,0,64,"4.1","Yes","AMD"
307.2,1200,1024,256,"5","Yes","AMD"
14.4,900,0,64,"4.1","Yes","AMD"
12.8,800,128,64,"5","Yes","AMD"
153.6,1200,512,256,"5","Yes","AMD"
12.8,800,0,64,"4.1","Yes","AMD"
28.8,900,0,128,"4.1","Yes","AMD"
12.8,800,128,64,"5","Yes","AMD"
51.2,800,256,128,"5","Yes","AMD"
72,1125,256,128,"5","Yes","AMD"
72,1125,256,128,"5","Yes","AMD"
64,1000,256,128,"5","Yes","AMD"
32,1000,256,128,"5","Yes","AMD"
72,1125,256,128,"5","Yes","AMD"
32,1000,256,128,"5","Yes","AMD"
64,1000,256,128,"5","Yes","AMD"
36,1125,256,64,"5","Yes","AMD"
32,1000,256,128,"5","Yes","AMD"
28.8,900,256,128,"5","Yes","AMD"
14.4,900,256,64,"5","Yes","AMD"
36,1125,256,64,"5","Yes","AMD"
14.4,900,0,64,"5","Yes","AMD"
14.4,900,256,64,"5","Yes","AMD"
115.2,900,512,256,"5","Yes","AMD"
25.6,800,0,128,"5","No","AMD"
115.2,900,512,256,"5","Yes","AMD"
25.6,800,256,128,"5","Yes","AMD"
25.6,800,256,128,"5","Yes","AMD"
64,1000,256,128,"5","Yes","AMD"
51.2,800,256,128,"5","Yes","AMD"
